SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio, sum of aromatics
529.0, 0.147, 503.0, 0.71, 518.0, 0.26, 528.0, 0.507, 1097.0, 0.501, 79885.346865
535.0, 0.002, 522.0, 0.174, 521.0, 0.431, 520.0, 0.069, 936.0, 0.425, 58284.20513900001
523.0, 0.747, 504.0, 0.283, 500.0, 0.617, 517.0, 0.514, 1079.0, 0.453, 77451.77721400002
518.0, 0.715, 533.0, 0.743, 528.0, 0.928, 520.0, 0.653, 1027.0, 0.576, 78178.821866
505.0, 0.313, 509.0, 0.49, 533.0, 0.307, 504.0, 0.274, 1003.0, 0.408, 70634.769322
531.0, 0.86, 505.0, 0.161, 516.0, 0.451, 533.0, 0.587, 1072.0, 0.452, 79134.410385
526.0, 0.538, 512.0, 0.251, 535.0, 0.375, 502.0, 0.676, 929.0, 0.458, 69447.35158799999
500.0, 0.545, 529.0, 0.21, 511.0, 0.303, 523.0, 0.574, 955.0, 0.575, 70734.350282
508.0, 0.119, 502.0, 0.527, 503.0, 0.393, 514.0, 0.827, 1085.0, 0.411, 77574.522036
514.0, 0.915, 528.0, 0.834, 507.0, 0.406, 518.0, 0.038, 944.0, 0.445, 65185.494062
521.0, 0.11, 504.0, 0.833, 528.0, 0.58, 501.0, 0.599, 994.0, 0.51, 72569.705304
535.0, 0.136, 530.0, 0.008, 531.0, 0.874, 536.0, 0.139, 1077.0, 0.451, 73230.977238
538.0, 0.775, 510.0, 0.939, 516.0, 0.979, 536.0, 0.861, 981.0, 0.573, 74491.536123
524.0, 0.447, 527.0, 0.458, 531.0, 0.625, 534.0, 0.984, 930.0, 0.427, 73012.90718400001
523.0, 0.145, 515.0, 0.57, 520.0, 0.209, 540.0, 0.866, 1001.0, 0.413, 76259.33005
510.0, 0.197, 512.0, 0.38, 523.0, 0.683, 522.0, 0.719, 962.0, 0.41, 72828.58636700001
525.0, 0.668, 537.0, 0.189, 528.0, 0.881, 518.0, 0.252, 965.0, 0.578, 72300.72478199999
507.0, 0.462, 540.0, 0.669, 505.0, 0.235, 528.0, 0.225, 938.0, 0.445, 67830.74282799999
510.0, 0.154, 530.0, 0.81, 537.0, 0.144, 501.0, 0.048, 991.0, 0.44, 65694.83757799999
532.0, 0.1, 536.0, 0.283, 506.0, 0.035, 507.0, 0.754, 1001.0, 0.549, 69354.79673599999
531.0, 0.039, 512.0, 0.972, 522.0, 0.528, 505.0, 0.118, 1096.0, 0.59, 74608.544857
537.0, 0.282, 520.0, 0.297, 516.0, 0.35, 535.0, 0.009, 1056.0, 0.434, 68796.51627100001
501.0, 0.969, 512.0, 0.752, 503.0, 0.341, 509.0, 0.877, 906.0, 0.524, 65970.716147
507.0, 0.787, 502.0, 0.709, 536.0, 0.746, 540.0, 0.592, 910.0, 0.596, 69214.91870499999
536.0, 0.97, 510.0, 0.897, 524.0, 0.456, 540.0, 0.023, 1087.0, 0.486, 75902.703572
525.0, 0.768, 510.0, 0.646, 501.0, 0.336, 525.0, 0.46, 982.0, 0.413, 71427.815548
