SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio,aromatics yield
539,0.86,517,0.052,527,0.298,507,0.611,989,0.527,0.642334755
505,0.951,514,0.472,527,0.202,517,0.286,1050,0.51,0.631288614
531,0.375,502,0.754,505,0.804,538,0.03,912,0.501,0.62646163
517,0.378,540,0.372,530,0.127,529,0.287,935,0.433,0.660350819
539,0.078,531,0.128,506,0.201,502,0.215,911,0.553,0.596706918
538,0.011,529,0.532,539,0.336,508,0.222,1022,0.451,0.62954202
505,0.955,512,0.25,537,0.186,519,0.104,1046,0.472,0.600901095
515,0.808,523,0.516,527,0.109,530,0.108,1058,0.402,0.607664455
503,0.733,538,0.611,540,0.012,526,0.089,1070,0.458,0.577956372
521,0.51,526,0.506,536,0.98,537,0.523,1014,0.425,0.693839411
510,0.505,532,0.137,536,0.699,528,0.761,962,0.536,0.693727104
508,0.843,506,0.269,509,0.816,528,0.878,985,0.528,0.671093172
504,0.919,500,0.156,513,0.857,530,0.27,904,0.436,0.642529769
526,0.979,508,0.062,500,0.48,501,0.459,918,0.405,0.611002397
536,0.432,520,0.798,521,0.769,538,0.264,909,0.496,0.680019818
501,0.674,535,0.42,520,0.333,539,0.237,904,0.491,0.668909837
509,0.159,511,0.841,535,0.823,511,1,955,0.526,0.678565037
530,0.588,527,0.424,510,0.852,525,0.616,990,0.568,0.683042241
517,0.861,506,0.965,536,0.33,524,0.278,1049,0.402,0.648151775
506,0.493,537,0.878,506,0.819,517,0.726,1061,0.554,0.672646052
527,0.778,507,0.122,534,0.85,538,0.039,909,0.467,0.634896819
505,0.14,520,0.891,523,0.378,528,0.48,981,0.465,0.663672583
514,0.519,531,0.154,526,0.003,527,0.417,978,0.587,0.597492797
540,0.07,518,0.459,514,0.384,526,0.863,1043,0.444,0.676056751
519,0.774,536,0.345,521,0.174,508,0.841,1057,0.484,0.660935639
513,0.884,530,0.016,502,0.348,524,0.19,981,0.566,0.586211578
509,0.186,508,0.002,528,0.304,520,0.686,967,0.573,0.6146658
535,0.491,507,0.041,538,0.861,530,0.188,1076,0.445,0.642564149
518,0.472,529,0.669,507,0.91,539,0.174,963,0.428,0.665513803
515,0.863,539,0.941,505,0.329,525,0.083,1090,0.517,0.626355239
509,0.601,500,0.268,517,0.846,530,0.873,1077,0.476,0.673820697
523,0.058,524,0.485,527,0.012,520,0.492,932,0.497,0.606654133
535,0.779,523,0.663,500,0.162,534,0.267,1054,0.498,0.642512171
502,0.407,511,0.593,530,0.62,508,0.383,939,0.583,0.66197843
512,0.794,521,0.994,503,0.711,505,0.939,1020,0.562,0.661246771
504,0.767,504,0.465,501,0.962,525,0.2,960,0.553,0.639304136
502,0.078,532,0.709,518,0.969,520,0.712,979,0.519,0.675053669
527,0.993,520,0.079,507,0.16,504,0.156,948,0.402,0.567136754
509,0.45,534,0.657,537,0.214,513,0.441,1023,0.551,0.665005005
516,0.546,506,0.125,533,0.616,502,0.298,1034,0.493,0.635049266
503,0.511,516,0.751,502,0.399,532,0.371,943,0.484,0.656313029
533,0.58,517,0.946,520,0.697,526,0.044,974,0.441,0.645775731
530,0.09,524,0.406,528,0.636,531,0.92,944,0.6,0.698628086
536,0.137,521,0.846,511,0.415,513,0.791,945,0.479,0.670339519
521,0.661,501,0.748,514,0.207,507,0.845,1039,0.599,0.6485886
506,0.723,536,0.198,506,0.694,510,0.396,915,0.472,0.654643198
